operator,charging_facility_type,number_of_charging_points,power_connection_capacity,city,postal_code,commissioning_date,year,month,state
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-10-01,2021,10,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-10-01,2021,10,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-10-01,2021,10,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-10-01,2021,10,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-10-01,2021,10,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-10-01,2021,10,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-10-01,2021,10,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-10-01,2021,10,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,11.0,Rüsselsheim am Main,65428,2021-10-01,2021,10,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,11.0,Rüsselsheim am Main,65428,2021-10-01,2021,10,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,11.0,Rüsselsheim am Main,65428,2021-10-01,2021,10,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,11.0,Rüsselsheim am Main,65428,2021-10-01,2021,10,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,44.0,Rüsselsheim am Main,65428,2022-02-02,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,44.0,Rüsselsheim am Main,65428,2022-02-02,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,44.0,Rüsselsheim am Main,65428,2022-02-02,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-02,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-02,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-02,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,44.0,Rüsselsheim am Main,65428,2022-02-02,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,44.0,Rüsselsheim am Main,65428,2022-02-02,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,44.0,Rüsselsheim am Main,65428,2022-03-22,2022,3,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,44.0,Rüsselsheim am Main,65428,2022-03-22,2022,3,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,44.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,44.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,44.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2022-02-01,2022,2,Hessen
